State	Grant Number	Fiscal Year	Element Name	Grant Status	Obligation Amount	Grant Type	Sponsor Name	Project Description	Park Name	Park County	Park CD.	Park Total Acres
ME	833	2011	Town of Ft. Kent - Riverside Park	C	57,000.00	D	Town of Ft. Kent		Riverside Park	AROOSTOOK	2	9.3
ME	832	2011	Frenchville Recreation Park Renovation Project	A	16,412.00	D	Town of Frenchville		Frenchville Recreation Park	AROOSTOOK	2	8.3
ME	830	2011	Town of St. Albans Community Playground	C	25,000.00	D	Town of St. Albans		Batchelder Memorial Playground	SOMERSET	2	6.2
ME	831	2011	Town of Topsham - Head of Tide Park	A	74,850.00	D	Town of Topsham		Head of Tide Park	SAGADAHOC	1	4
ME	835	2011	Colburn House State Historic Site Infrastructure	A	43,473.00	R	Maine Bureau of Parks and Lands		Colburn House Historic Site	KENNEBEC	1	7.6
MI	1,707	2011	LUDINGTON STATE PARK ELECTRICAL IMPROVEMENTS	A	171,225.00	D	DEPT. OF NATURAL RESOURCES	The Michigan Department of Natural Resources will utilize a Land and Water Conservation Fund grant to assist in improving the Pines Campground within the 5,300-acre Ludington State Park. The grant scope consists of replacing the electrical supply to and within the campground including replacing the old lines, boxes, panels and electric pedestals for 100 campsites and adding new electric service to the shower buildings and the camper registration building.	LUDINGTON STATE PARK	MASON	2	5,300.00
MI	1,708	2011	HOLLAND STATE PARK CAMPGROUND RESTROOM REPLACEMENT	A	332,910.00	D	DEPT. OF NATURAL RESOURCES	The Michigan Department of Natural Resources will utilize a Land and Water Conservation Fund grant to assist in replacing the restroom and showers within the Holland State Park (Ottawa County) campground. This project will remove an outdated restroom/shower facility called the Pines Building on the east loop of the Lake Macatawa campground and then replace it with a new green, energy efficient and universally accessible structure. The Lake Macatawa campground contains 211 campsites and the Pines Building serves 116 of these.	HOLLAND STATE PARK	OTTAWA	2	142
MI	1,706	2011	ROBERTS PARK SOCCER FIELDS	A	114,150.00	D	THOMAS TOWNSHIP	Thomas Township (Saginaw County, Michigan) will utilize a Land and Water Conservation Fund grant to assist in three new soccer fields and an accessible pathway from the parking lot to the fields at the 48.28-acre Roberts Park.	ROBERTS PARK	SAGINAW	4	48.3
MI	1,702	2011	WHEATLEY PARK REDEVELOPMENT	A	85,612.00	D	CITY OF INKSTER	The city of Inkster (Wayne County, Michigan) will utilize a Land and Water Conservation Fund grant to assist in purchasing and installing universally accessible playground equipment and related site improvements within Wheatley Park. This park has limited amenities and all are outdated and inaccessible to many would be users. The scope of work is directed primarily at improving the safety and quality of the recreational experience for children less than 6 years of age living in an urban environment.	WHEATLEY PARK	WAYNE	15	8.3
MI	1,704	2011	UNIVERSALLY ACCESSIBLE DESIGNED REST AREAS	C	34,137.93	D	TOWNSHIP OF GERRISH	Gerrish Township (Roscommon County, Michigan) will utilize a Land and Water Conservation Fund grant to assist in improving the 5.13-acre Gerrish Township Community Park. The grant scope includes the construction of new walkways and a comfort station plus general utilities and equipment. Additional features included in the scope of work include: beverage container bins, a garbage receptacle, a smoking receptacle, a pet station, a bike rack, benches, and message center. The landscaping will utilize Michigan native plants. This park is also used as a trailhead for the non-motorized trail system around the adjacent Higgins Lake, the trail leading to and from the village of Roscommon, and Roscommon’s Safe Route to Schools network.	GERRISH COMMUNITY PARK	ROSCOMMON	4	5.1
MI	1,703	2011	LACRONE PARK IMPROVEMENT	C	113,810.00	D	CITY OF KALAMAZOO	The city of Kalamazoo (Kalamazoo County, Michigan) will utilize a Land and Water Conservation Fund grant to assist in improving the 5.1-acre LaCorne Park. The grant scope includes the construction of a picnic shelter with restrooms, a basketball court, and accessible walkways. The new shelter will utilize “green” technology to benefit the environment and reduce energy/resource use.	LACRONE PARK	KALAMAZOO	6	5
MI	1,697	2011	BATH CHARTER TOWNSHIP-WISWASSER PARK PLAYGROUND	A	81,555.60	D	TOWNSHIP OF BATH	Bath Charter Township (Michigan) will utilize a Land and Water Conservation Fund grant to assist in the installation of playground equipment at Wiswasser Park. This park has not previously included a playground. The barrier-free, accessible playground will enable all children to experience independent, self-directed play at each individual child’s level of ability. The specific playground equipment includes slides, various types of swings including some with safety harnesses, claiming bars, and rings. A poured-in-place concrete walkway with benches will serve as the perimeter for the playground.	WISWASSER PARK	CLINTON	4	1.5
MI	1,700	2011	ROTHCHILD PARK DEVELOPMENT	C	21,370.05	D	CITY OF SPRINGFIELD	The city of Springfield (Calhoun County, Michigan) will utilize a Land and Water Conservation Fund grant to assist in improving the 0.12-acre Rothchild Park. The grant scope includes the construction of a barrier free playground within this small Springfield Heights Neighborhood park site. The project scope includes landscaping, the installation of playground equipment and fencing, and the relocation of an under-utilized pavilion from another community park. Currently, no recreational opportunities exist within the Springfield Heights Neighborhood or within walking distance to this neighborhood. One of the direct benefits from this grant will be a reduction in the number of children playing in the streets, thereby reducing the risk of vehicle/pedestrian accidents.	ROTHCHILD PARK	CALHOUN	7	0.1
MI	1,705	2011	MONITOR TOWNSHIP PARK IMPROVEMENTS	C	78,762.86	R	TOWNSHIP OF MONITOR	Monitor Township (Bay County, Michigan) will utilize a Land and Water Conservation Fund grant to assist in improving the 19.3-acre Township Park. The grant scope includes the construction of a new restroom, additional parking, and a 0.6-mile multi-use walkway. Township Park, physically located in Bay City, is a multi-use community park containing 2 regulation ball diamonds, 2 non-regulation ball diamonds, a multi-use pavilion, horseshoe pits, cooking grills, playground equipment, and a restroom. The new walkway will include 4 exercise stations and 2 benches for low impact fitness opportunities. Monitor Township is a rural setting with few safe places for fitness and recreational walkers.	MONITOR TOWNSHIP PARK	BAY	1	19.3
MN	1,380	2011	BERTRAM CHAIN OF LAKES REGIONAL PARK	C	600,974.00	A	WRIGHT COUNTY	Wright County (Minnesota) will utilize a Land and Water Conservation Fund grant to assist in acquiring 126.70 acres for the Bertram Chain of Lakes Regional Park. The site was previously part of a YMCA day camp. Future plans are to continue acquisition up to 1,200 acres with fishing piers, campground facilities, a public swimming beach, public water accesses, trails, overlooks, playground, picnic shelters, 9 hole disk golf course, soccer fields and softball fields.	BERTRAM CHAIN OF LAKES REGIONAL PARK	WRIGHT	6	126.7
MT	718	2011	CITY OF LIVINGSTON WATER SPRAY PROJECT	C	81,637.50	D	CITY OF LIVINGSTON	The city of Livingston (Montana) will construct a new water spray pad located where a children’s wading pool previously existed within the 2.4-acre Mike Webb Park. This park is adjacent to the Sacagawea Lagoon near East Geyser Street and south of the US-90 Highway Business District Route.	MIKE WEBB (G STREET) PARK	PARK	0	2.4
MT	717	2011	BIG HORN COUNTY TRAIL PROJECT	C	81,637.50	D	BIG HORN COUNTY	Big Horn County (Montana) will utilize a Land and Water Conservation Fund grant to assist in constructing a 2,600 foot linear trail along the US-90 Business Route in Hardin. This trail component will eventually be linked to another new trail component near the Big Horn County Historical Museum. The trail design will include rest stops, garbage receptacles, latrines, and picnic tables. The new 8 x 10 foot wide trail will replace an improvised trail along Old US 87 which is unsafe to users and a hazard to vehicles.	BIG HORN TRAIL	BIG HORN	0	0.5
MT	719	2011	LEWIS AND CLARK CAVERNS STATE PARK WATER SYSTEMS	C	130,003.00	R	STATE OF MONTANA	The State of Montana will utilize a Land and Water Conservation Fund grant to assist in replacing the 50-year old water system at Lewis & Clark Caverns State Park. The work under this grant will ensure an adequate supply and delivery of properly treated water to the park. Specific improvements include the removal and replacement of the existing spring cistern, pump house, storage cistern, water treatment facilities, and pipeline. The 2,920-acre Lewis & Clark Caverns State Park is located near the town of Whitehall in Jefferson County along Route 2 and the Jefferson River.	LEWIS & CLARK CAVERNS STATE PARK	JEFFERSON	0	2,920.00
NC	1,033	2011	YELLOW MOUNTAIN STATE NATURAL AREA ACQUISITION	A	872,763.00	A	N.C. DEPARTMENT OF ENVIRONMENT AND NATURAL RESOURCES	This project is for the newly protected acquisition of 556+/- acres of land that consist of four separate parcels. The primary purpose of Yellow Mountain State Natural Area is to protect the significant natural and scenic resources of the ridges and side slopes. The secondary purpose is for future low impact community and it includes cash donation from the land seller toward park development.	YELLOW MOUNTAIN STATE NATURAL AREA ACQUISITION	MITCHELL	10	556.7
ND	1,289	2011	RUGER PARK PICNIC SHELTER	C	40,241.00	D	DEVILS LAKE PARK BD.	The Devils Lake (Benson County, North Dakota) Park Board will utilize a Land and Water Conservation Fund grant to assist in constructing an enclosed picnic shelter and restrooms with the 85-acre Ruger Park. It is believed the enclosed picnic shelter will increase the number of visitors and extend the use of the park well into the fall and winter seasons.	RUGER PARK	Ramsey	0	114.9
ND	1,290	2011	NAPOLEON POOL RENOVATION	C	22,900.00	R	NAPOLEON PARK DIST.	The Napoleon Park District (Logan County, North Dakota) will utilize a Land and Water Conservation Fund grant to assist in improving the swimming pool located at Napoleon City Park. The grant scope includes: 1) replacing the cartridge filter systems in the main and wading pools with a sand and gravel media filter system; 2) replacing the pool heater; 3) connecting the main drain in the wading pool to the water recirculation system; 4) replacing the filter room piping; 5) replacing the life guard chairs; and, 6) replacing the gravel path from the parking area to the pool with an accessible concrete walkway and ramps.	NAPOLEON CITY PARK	LOGAN	0	7.6
ND	1,288	2011	FINLEY POOL HOUSE	C	45,112.59	R	FINLEY PARK DIST.	The Finley Park District (Steel County, North Dakota) will utilize a Land and Water Conservation Fund grant to assist in improving Finley City Park. The grant scope includes demolishing the existing swimming pool bath house and replacing it with a new bath house and all new interior components.	FINLEY CITY PARK	STEELE	0	6
NE	1,000	2011	PLATTE RIVER STATE PARK ACQUISITION	C	137,935.50	A	GAME & PARKS COMM.	The Nebraska Game and Parks Commission will utilize a Land and Water Conservation Fund grant to assist in acquiring 34.76 acres as an addition to the existing 500-acre Platte River State Park. The property will eventually be utilized for expansion of the park’s internal trail network. This park is located off of State Route 66 between Louisville and South Bend.	PLATTE RIVER STATE PARK	CASS	1	553.8
NE	1,003	2011	PLAYGROUND DEVELOPMENT-PONCA STATE PARK	A	75,000.00	R	GAME & PARKS COMM.	The Nebraska Game and Parks Commission will utilize a Land and Water Conservation fund grant to construct a new playground near the Missouri River Resource and Education Center within the 2,123-acre Ponca State Park. The playground will include a multi-station unit containing ladders, swirl slides, tunnels, ground level activity bars, hand loops, and a log balance beam and a tree house structure with double slides. Ponca State Park fronts the Missouri River in Dixon County just outside of the village of Ponca which is about 20 miles northwest of the Sioux City/South Sioux City metro area.	PONCA STATE PARK	Dixon	1	2,166.00
